,가슴,강서구,건물,건조,건조기,결과,경남,교반,교체,그라인더,근무,기름,김해시,당사,당일,도포,메탄올,모터,물질,미상,바닥,반응,발견,발화,배관,번_,번지,베스티,보수,부산시,부위,부주의,분경,불길,불꽃,불량,불씨,사내,사이,상기,상태,선박,세척,소리,소재,소화,손등,송정동,수리,숙소,스위치,스파크,시경,시설,시작,신체,실험실,안전,알코올,양손,업체,열_,오일,옷_,용기,용접,용해로,원료,유증,인화,일부,자동차,작동,작업복,잔류,장갑,전기,전신,전원,절단,점검,접촉,정박,정비,정전기,제거,제조,제품,조선,조치,준비,중단,지시,차량,착용,추정,탈출,탱크,투입,포장,피재,피해,허벅지,현장,호기,화기,화상,회사
제거,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0
제조,0,1,0,0,0,1,0,0,0,0,10,2,0,0,0,0,0,1,8,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,4,2,0,1,1,0,1,0,0,0,1,0,0,3,0,21,2,0,1,1,0,4,0,1,0,0,0,1,0,1,0,1,2,0,1,7,1
제품,0,2,0,0,6,0,6,0,0,0,0,0,6,1,0,0,0,1,1,1,0,0,0,1,3,18,1,1,0,2,0,0,15,0,3,2,1,1,1,1,0,0,0,0,3,1,2,1,2,0,0,9,0,0,1,2,2,1,1,0,0,6,0,9,2,2,0,2,4,0,2,0,0,2,2,6,1,0,1,1,0,4,1,0,3,2,2,60,0,0,2,1,0,0,0,2,0,0,3,6,0,0,1,2,2,0,18,8
조선,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0
조치,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,1,0,2,1,0,0,0,0,1,0,0,2,2,0,0,1,5,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,1,0,0,1,0,2,0,1,0,1,10,0,0,0,1,1,2,0,0,2,0,0,0,0,4,0,2,5,0
준비,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,5,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,1
중단,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0
지시,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
차량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,3,0,0,2,0
착용,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,3,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,1,0,1,3,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,2,0,0,2,1
추정,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,2,0,2,0,0,0,1,1,8,0,3,1,0,1,1,0,3,0,0,3,0
탈출,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
탱크,3,0,0,0,0,1,0,2,2,2,0,0,0,1,0,3,0,0,1,3,0,0,0,2,7,4,0,0,0,0,0,0,2,3,2,0,0,0,2,0,6,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,3,4,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,4,0,3,0,1,1,0,0,10,0
투입,0,1,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,3,0,4,0,1,0,1,2,0,3,0,0,1,0,0,2,0,4,3,0,2,3,3,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,2,0,3,1,0,0,1,0,3,0,1,3,1,2,0,0,0,0,0,1,0,4,18,0,0,0,0,3,2,3,6,3
포장,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,2,0,0,0,1,0,0,0,4,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,1
피재,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,1,0
피해,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,2,0
허벅지,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,4,2
현장,3,0,0,2,0,1,0,0,1,0,2,2,0,1,1,0,0,3,0,0,0,0,0,4,2,0,2,1,1,0,0,0,7,0,0,1,0,0,0,1,0,3,0,2,2,1,1,0,1,0,2,1,1,3,2,0,0,2,1,1,0,0,1,4,0,0,0,3,1,0,0,0,2,3,0,2,1,1,0,1,0,0,1,2,2,0,2,2,1,4,1,1,0,3,2,3,0,1,3,0,0,0,1,20,0,2,14,4
호기,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,7,1,4,1
화기,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,2,1,0,1,0,6,0,0,4,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,2,0,1,0,0,0,3,0,0,2,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,8,6,0
화상,6,4,3,4,5,3,5,2,1,2,5,6,3,2,1,2,4,2,5,4,5,1,0,4,6,6,3,2,5,4,2,0,31,2,9,1,3,3,4,4,6,5,3,2,14,4,3,3,9,1,1,4,2,2,4,2,1,2,11,3,1,3,5,18,2,2,2,3,5,1,2,2,5,9,0,4,4,4,2,3,2,1,2,2,5,3,7,18,2,5,3,3,2,2,2,3,1,10,6,5,1,2,4,14,4,6,85,7
회사,4,0,0,0,1,0,1,1,2,0,2,3,1,1,0,0,1,3,0,1,0,0,0,0,0,3,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,1,2,2,1,0,1,0,5,0,0,0,1,0,0,0,0,0,2,0,3,1,1,1,0,0,0,0,0,2,0,1,8,0,0,1,0,0,0,1,0,0,0,3,1,0,0,2,4,1,0,7,13
